"","app_date","applicantID","loan_sequence","disp_date","twoDigits_zip","addrZip","clientID","addrCity","Latitude","Longtiude","repayStatus","delinqDays","age","appGender","appCivilStatus","appDependents","appIncome","requestedAmt_loan1","requestedTerm_loan1","actualAmt_loan1","actualTerm_loan1","scoreProxy","starting_state","weekday","month","Holiday","holiday_dummy"
"1",2018-11-21,102294,1,2018-11-21,"9",9850,125409,"Iztapalapa",19.3142,-99.0569,"0",336,34,"0","married",3,13000,3000,30,2500,23,"2",100,"4","11","0",0
"2",2018-11-21,102354,1,2018-11-22,"59",59920,101885,"Tangamandapio",19.8902,-102.4197,"1",0,23,"0","single",0,10800,1500,24,1500,24,"3",100,"4","11","0",0
"3",2018-11-21,102364,1,2018-11-28,"1",1710,125517,"Mexico Df",19.3479,-99.2232,"1",0,30,"0","single",2,20000,2500,15,1500,15,"3",100,"4","11","0",0
"4",2018-11-21,102366,1,2018-11-21,"52",52220,125513,"Calimaya",19.1811,-99.5808,"0",329,27,"1","single",1,10000,3000,30,1500,30,"1",100,"4","11","0",0
"5",2018-11-21,102386,1,2018-11-21,"4",4100,121526,"coyoacan",19.4206,-99.1815,"1",0,52,"0","married",2,12000,1500,23,1500,23,"3",100,"4","11","0",0
"6",2018-11-21,102390,1,2018-11-21,"20",20126,124829,"Aguascalientes",21.8115,-102.1909,"1",0,53,"1","married",0,10000,1500,23,1500,23,"2",100,"4","11","0",0
"7",2018-11-21,102396,1,2018-11-21,"78",78116,125204,"San Luis Potosv<U+2260>",22.1451,-100.9134,"1",0,21,"0","single",0,8000,1500,23,1500,23,"3",100,"4","11","0",0
"8",2018-11-21,102399,1,2018-11-21,"52",52176,125541,"Metepec",19.2474,-99.5884,"0",336,33,"1","married",3,10000,2000,23,2000,23,"3",100,"4","11","0",0
"9",2018-11-21,102401,2,2018-11-21,"42",42088,29161,"Pachuca de Soto",20.1021,-98.7765,"1",0,48,"1","married",2,35000,2000,30,2000,30,NA,100,"4","11","0",0
"10",2018-11-21,102406,1,2018-11-21,"55",55249,125519,"Ecatepec de Morelos",19.5147,-99.0255,"0",336,45,"1","married",2,6000,3000,15,1500,23,"3",100,"4","11","0",0
"11",2018-11-21,102452,1,2018-11-21,"89",89480,125552,"Ciudad Madero",22.25,-97.8,"0",336,43,"1","married",0,7200,1500,23,1500,23,"2",100,"4","11","0",0
"12",2018-11-21,102462,1,2018-11-26,"52",52915,125655,"Atizapv∞n de Zaragoza",19.5647,-99.25,"0",300,25,"0","single",1,10000,3000,30,1500,22,"1",100,"4","11","0",0
"13",2018-11-21,102480,2,2018-11-21,"88",88747,54215,"Reynosa",26.0652,-98.3235,"1",0,38,"1","married",2,8000,3000,30,2000,30,NA,100,"4","11","0",0
"14",2018-11-21,102482,1,2018-11-21,"42",42700,125648,"Mixquiahuala de Juv∞rez",20.2088,-99.1807,"1",0,25,"0","single",0,105000,3000,30,1500,30,"1",100,"4","11","0",0
"15",2018-11-21,102483,1,2018-11-21,"56",56535,125662,"IXTAPALUCA",19.3014,-98.8808,"1",0,48,"0","married",2,7000,3000,30,2000,30,"3",100,"4","11","0",0
"16",2018-11-21,102490,2,2018-11-21,"88",88570,101190,"Reynosa",26.1163,-98.3649,"1",0,35,"1","married",2,6950,3000,30,2000,30,NA,100,"4","11","0",0
"17",2018-11-21,102507,1,2018-11-21,"97",97800,83451,"Maxcanu",20.5846,-90.001,"1",0,50,"0","married",4,6500,1600,23,1600,23,"2",100,"4","11","0",0
"18",2018-11-21,102509,1,2018-11-22,"76",76125,71840,"Querv©taro",20.5833,-100.3469,"1",0,28,"1","married",0,8000,1500,29,1500,29,"1",100,"4","11","0",0
"19",2018-11-21,102511,1,2018-11-23,"66",66420,125708,"San Nicolv∞s de los Garza",25.7361,-100.2707,"1",0,24,"0","single",0,24000,3000,16,2500,23,"2",100,"4","11","0",0
"20",2018-11-21,102535,1,2018-11-21,"84",84270,62177,"Agua Prieta",31.1044,-109.1973,"0",329,23,"1","single",0,15000,3000,30,1500,30,"1",100,"4","11","0",0
"21",2018-11-21,102541,1,2018-11-21,"29",29080,125605,"Tuxtla Gutiv©rrez",16.7359,-93.0959,"1",0,20,"0","single",0,5300,3000,20,1700,20,"3",100,"4","11","0",0
"22",2018-11-21,102543,3,2018-11-21,"57",57600,89996,"Nezahualcoyotl",19.399,-99.0446,"1",0,30,"1","single",1,7000,1500,15,1500,15,NA,100,"4","11","0",0
"23",2018-11-21,102544,2,2018-11-21,"2",2240,59330,"azcapotzalco",19.4853,-99.1403,"1",0,28,"1","single",1,12500,3000,30,3000,30,NA,100,"4","11","0",0
"24",2018-11-21,102570,1,2018-11-22,"86",86040,40114,"Centro",17.9966,-92.8602,"1",0,46,"1","divorced",1,10000,2500,30,1500,22,"1",100,"4","11","0",0
"25",2018-11-21,102571,2,2018-11-21,"93",93369,108762,"Poza Rica de Hidalgo",20.503,-97.4669,"1",0,26,"0","single",0,40000,3000,17,1500,17,NA,100,"4","11","0",0
"26",2018-11-21,102574,1,2018-11-22,"48",48290,125806,"Puerto Vallarta",20.5539,-105.1492,"0",335,43,"0","single",0,10000,3000,30,1500,23,"3",100,"4","11","0",0
"27",2018-11-21,102580,1,2018-11-21,"52",52280,125820,"San Antonio la Isla",19.16,-99.5608,"1",0,32,"1","single",1,8000,3000,30,2000,30,"3",100,"4","11","0",0
"28",2018-11-21,102660,1,2018-11-21,"94",94733,99716,"rio blanco",18.8298,-97.1162,"0",302,32,"1","single",0,10000,1500,23,1500,23,"3",100,"4","11","0",0
"29",2018-11-21,102689,3,2018-11-21,"36",36300,41687,"SAN FRANCISCO DEL RINCON",20.9408,-101.8128,"1",0,34,"0","single",1,35000,3000,30,3000,30,NA,100,"4","11","0",0
"30",2018-11-21,102705,1,2018-11-22,"22",22205,125965,"Tijuana",32.3617,-116.7366,"1",0,29,"1","married",1,13000,3000,10,2500,9,"2",100,"4","11","0",0
"31",2018-11-21,102716,1,2018-11-21,"9",9360,126008,"Iztapalapa",19.3429,-98.9888,"1",0,28,"0","single",0,12000,2000,30,1500,23,"1",100,"4","11","0",0
"32",2018-11-21,102731,1,2018-11-21,"45",45060,6453,"Zapopan",20.7949,-103.4942,"0",257,45,"0","married",3,28700,1500,30,1500,30,"3",100,"4","11","0",0
"33",2018-11-21,102739,3,2018-11-21,"67",67134,106806,"Guadalupe",25.6726,-100.2057,"1",0,42,"1","married",3,8000,2500,7,2000,7,NA,100,"4","11","0",0
"34",2018-11-21,102762,1,2018-11-21,"62",62730,71474,"Yautepec",18.9026,-98.9717,"0",329,42,"0","single",2,6600,1500,30,1500,30,"3",100,"4","11","0",0
"35",2018-11-21,102780,1,2018-11-22,"78",78170,126063,"San Luis Potosv<U+2260>",22.1599,-100.9608,"1",0,26,"0","single",0,35000,1500,23,1500,23,"4",100,"4","11","0",0
"36",2018-11-21,102784,3,2018-11-21,"75",75615,12323,"Tochtepec",18.8544,-97.8535,"0",344,45,"0","married",1,7000,3000,30,1500,30,NA,100,"4","11","0",0
"37",2018-11-21,102788,2,2018-11-21,"11",11320,56645,"Miguel Hidalgo",19.4514,-99.1723,"0",297,29,"0","single",0,15000,2000,15,1500,15,"3",100,"4","11","0",0
"38",2018-11-21,102792,3,2018-11-21,"6",6720,93237,"Cuahutemoc",19.4165,-99.1493,"1",0,37,"1","married",0,25000,3000,30,2500,30,NA,100,"4","11","0",0
"39",2018-11-21,102802,2,2018-11-21,"52",52054,105132,"Lerma",19.3451,-99.4453,"1",0,41,"1","married",3,9200,2500,15,2500,15,NA,100,"4","11","0",0
"40",2018-11-21,102813,1,2018-11-22,"25",25628,126095,"Frontera",26.9477,-101.5283,"0",335,43,"0","married",2,9000,3000,30,2000,23,"3",100,"4","11","0",0
"41",2018-11-21,102858,3,2018-11-22,"70",70701,77834,"SALINA CRUZ",16.246,-95.193,"1",0,26,"1","married",0,8000,1500,30,1500,30,NA,100,"4","11","0",0
"42",2018-11-21,102871,1,2018-11-22,"7",7960,123889,"Gustavo A. Madero",19.4523,-99.0959,"1",0,56,"0","married",5,12300,3000,30,2000,23,"2",100,"4","11","0",0
"43",2018-11-21,102877,1,2018-11-22,"50",50160,126196,"Toluca de Lerdo",19.2668,-99.6752,"0",328,32,"1","married",2,6000,3000,30,1500,30,"1",100,"4","11","0",0
"44",2018-11-21,102966,1,2018-11-22,"48",48325,126258,"Puerto Vallarta",20.6721,-105.1492,"1",0,50,"1","single",0,12000,1500,30,1500,30,"1",100,"4","11","0",0
"45",2018-11-21,102980,1,2018-11-22,"52",52767,117599,"Huixquilucan",19.3428,-99.3567,"1",0,39,"1","single",1,15000,1500,30,1500,30,"1",100,"4","11","0",0
"46",2018-11-21,102984,1,2018-11-26,"38",38020,124191,"Celaya",20.4703,-100.7575,"1",0,43,"1","single",1,8400,2000,28,2000,28,"3",100,"4","11","0",0
"47",2018-11-21,102999,1,2018-11-26,"43",43630,159,"Tulancingo de bravo",20.0902,-98.3509,"1",0,31,"1","single",2,8000,1500,29,1500,29,"2",100,"4","11","0",0
"48",2018-11-21,103082,1,2018-11-22,"31",31135,120945,"Chihuahua",28.7137,-106.209,"0",335,37,"0","married",2,7000,1500,23,1500,23,"1",100,"4","11","0",0
"49",2018-11-21,103084,3,2018-11-22,"45",45402,12931,"Tonala",20.6069,-103.1714,"1",0,31,"0","single",0,10500000,3000,30,2000,30,NA,100,"4","11","0",0
"50",2018-11-21,103093,1,2018-11-22,"62",62790,126517,"Xochitepec",18.7344,-99.1914,"1",0,30,"1","single",0,6500,1500,30,1500,30,"1",100,"4","11","0",0
"51",2018-11-21,103095,1,2018-11-23,"24",24114,126527,"Carmen",18.6578,-91.8161,"1",0,32,"1","single",2,14700,1500,23,1500,23,"3",100,"4","11","0",0
"52",2018-11-21,103097,1,2018-11-22,"37",37545,126089,"Lev=n",21.0662,-101.6098,"0",331,34,"1","single",0,15000,1500,10,1500,10,"3",100,"4","11","0",0
"53",2018-11-22,103197,1,2018-11-22,"55",55076,126580,"Ecatepec de Morelos",19.5729,-99.0433,"1",0,37,"0","married",2,14000,3000,22,1500,22,"1",100,"5","11","0",0
"54",2018-11-22,103219,1,2018-11-22,"54",54605,125689,"Tepotzotlv∞n",19.7099,-99.2019,"1",0,29,"1","single",1,6000,1500,23,1500,23,"3",100,"5","11","0",0
"55",2018-11-22,103224,3,2018-11-22,"97",97277,102008,"MERIDA",20.853,-89.5979,"1",0,21,"1","single",1,5000,1500,15,1500,15,NA,100,"5","11","0",0
"56",2018-11-22,103226,1,2018-11-23,"71",71230,75295,"Santa cruz xoxocotlan",17.0129,-96.7352,"1",0,36,"1","married",0,9000,1500,22,1500,22,"1",100,"5","11","0",0
"57",2018-11-22,103230,1,2018-11-22,"89",89560,19772,"Cd Madero",22.2795,-97.8284,"1",0,39,"1","single",1,8000,1500,23,1500,23,"2",100,"5","11","0",0
"58",2018-11-22,103232,1,2018-11-22,"68",68313,126612,"San Juan Bautista Tuxtepec",17.8403,-95.8925,"1",0,46,"0","married",3,7000,2000,9,1500,9,"1",100,"5","11","0",0
"59",2018-11-22,103238,1,2018-11-22,"94",94477,126610,"Fortv<U+2260>n",18.9018,-96.9706,"1",0,47,"0","single",0,13990,3000,15,2500,12,"2",100,"5","11","0",0
"60",2018-11-22,103246,1,2018-11-22,"23",23477,126640,"Los Cabos",22.9077,-109.7532,"1",0,29,"0","married",1,28000,3000,30,2000,30,"2",100,"5","11","0",0
"61",2018-11-22,103257,2,2018-11-22,"67",67190,49799,"guadalupe",25.651,-100.2057,"0",336,33,"0","married",2,9000,2500,13,1500,13,NA,100,"5","11","0",0
"62",2018-11-22,103268,1,2018-11-22,"54",54090,15094,"TLALNEPANTLA",19.5099,-99.1701,"1",0,65,"0","married",1,8400,2000,30,2000,30,"3",100,"5","11","0",0
"63",2018-11-22,103274,1,2018-11-22,"63",63195,38519,"Tepic",21.4587,-104.8199,"1",0,52,"1","married",1,16000,1500,30,1500,30,"2",100,"5","11","0",0
"64",2018-11-22,103279,1,2018-11-22,"67",67485,125874,"Cadereyta Jimv©nez",25.4036,-99.9142,"1",0,53,"0","married",2,15000,2000,22,1500,22,"1",100,"5","11","0",0
"65",2018-11-22,103287,1,2018-11-26,"54",54173,126679,"Tlalnepantla de Baz",19.4851,-99.1129,"1",0,41,"1","married",2,8000,2200,9,2000,22,"3",100,"5","11","0",0
"66",2018-11-22,103301,1,2018-11-22,"95",95980,126687,"Chinameca",18.022,-94.6167,"1",0,35,"1","married",0,8200,1500,30,1500,30,"3",100,"5","11","0",0
"67",2018-11-22,103302,1,2018-11-22,"14",14710,125811,"Tlalpan",19.2212,-99.1948,"0",333,48,"0","widow",1,20000,3000,25,2000,25,"3",100,"5","11","0",0
"68",2018-11-22,103304,1,2018-11-22,"97",97305,126686,"Mv©rida",20.984,-89.5587,"1",0,46,"0","single",0,54000,3000,15,2000,15,"2",100,"5","11","0",0
"69",2018-11-22,103363,1,2018-11-22,"91",91100,126653,"Xalapa",19.5439,-96.8883,"0",336,59,"0","married",0,12000,2000,22,2000,22,"3",100,"5","11","0",0
"70",2018-11-22,103365,1,2018-11-23,"52",52929,109086,"Atizapan de Zaragoza",19.6017,-99.2244,"1",0,46,"0","married",3,12000,1500,22,1500,22,"2",100,"5","11","0",0
"71",2018-11-22,103375,1,2018-11-22,"76",76180,66106,"Santiago de Querv©taro",20.5667,-100.4049,"1",0,32,"1","married",2,8000,2500,29,1500,22,"3",100,"5","11","0",0
"72",2018-11-22,103377,1,2018-11-22,"55",55120,120817,"Ecatepec de Morelos",19.5493,-99.019,"1",0,57,"1","single",2,10000,2000,11,2000,11,"4",100,"5","11","0",0
"73",2018-11-22,103399,1,2018-11-22,"42",42083,79099,"Pachuca de Soto",20.0393,-98.7607,"0",328,30,"1","divorced",1,15000,3000,30,2000,30,"3",100,"5","11","0",0
"74",2018-11-22,103410,1,2018-11-22,"38",38010,32585,"CELAYA",20.4298,-100.7838,"0",343,53,"1","single",1,8000,1500,15,1500,15,"2",100,"5","11","0",0
"75",2018-11-22,103416,1,2018-11-22,"86",86270,126311,"Centro",18.0092,-92.778,"0",336,51,"1","single",1,5200,1500,22,1500,22,"1",100,"5","11","0",0
"76",2018-11-22,103455,3,2018-11-22,"20",20270,51128,"Aguascalientes",21.8956,-102.2705,"1",0,33,"1","single",0,14000,2500,30,2000,30,NA,100,"5","11","0",0
"77",2018-11-22,103456,1,2018-11-22,"62",62553,22448,"jiutepec",18.8848,-99.1664,"1",0,36,"1","single",1,24000,1500,30,1500,30,"1",100,"5","11","0",0
"78",2018-11-22,103462,1,2018-11-22,"56",56680,126810,"Cocotitlv∞n",19.226,-98.8525,"1",0,28,"0","single",0,6396,1500,30,1500,30,"3",100,"5","11","0",0
"79",2018-11-22,103471,1,2018-11-22,"3",3400,99728,"Benito Juv∞rez",19.3975,-99.1422,"1",0,39,"0","single",0,45000,3000,22,3000,22,"4",100,"5","11","0",0
"80",2018-11-22,103503,3,2018-11-26,"37",37220,88710,"Lev=n de los Aldama",21.1248,-101.6224,"1",0,34,"0","married",2,7000,3000,14,2000,14,NA,100,"5","11","0",0
"81",2018-11-22,103516,1,2018-11-22,"9",9780,124597,"Iztapalapa",19.3182,-99.0569,"1",0,25,"0","single",0,10000,1500,30,1500,30,"3",100,"5","11","0",0
"82",2018-11-22,103519,1,2018-11-22,"67",67189,123123,"Monterrey",25.6726,-100.2057,"1",0,38,"0","married",2,13000,1500,22,1500,22,"1",100,"5","11","0",0
"83",2018-11-22,103528,3,2018-11-22,"15",15850,46909,"V. C.",19.413,-99.1244,"1",0,50,"1","single",0,10000,3000,30,2000,30,NA,100,"5","11","0",0
"84",2018-11-22,103545,3,2018-11-22,"64",64890,81530,"Monterrey",25.6167,-100.2667,"0",333,51,"0","married",2,30000,2300,26,2000,26,NA,100,"5","11","0",0
"85",2018-11-22,103551,2,2018-11-22,"57",57180,60036,"mexico",19.4571,-99.0479,"1",0,21,"0","single",0,4000,1500,25,1500,25,NA,100,"5","11","0",0
"86",2018-11-22,103557,3,2018-11-22,"47",47020,28683,"san juan de los lagos jalisco",21.2697,-102.2581,"1",0,55,"0","married",1,7600,2000,30,1500,30,NA,100,"5","11","0",0
"87",2018-11-22,103566,1,2018-11-23,"77",77539,102931,"Benito Juv∞rez",20.8603,-86.9832,"1",0,32,"0","married",2,16000,2000,30,1500,22,"1",100,"5","11","0",0
"88",2018-11-22,103567,1,2018-11-22,"62",62214,127003,"Cuernavaca",18.9773,-99.2418,"1",0,31,"0","single",1,8000,1600,13,1600,13,"3",100,"5","11","0",0
"89",2018-11-22,103578,1,2018-11-22,"54",54710,126860,"Cuautitlv∞n Izcalli",19.6546,-99.2252,"1",0,49,"0","married",2,22500,2800,29,2000,22,"3",100,"5","11","0",0
"90",2018-11-22,103585,3,2018-11-22,"89",89450,52600,"ciudad madero",22.25,-97.8,"1",0,42,"0","single",0,16000,1500,30,1500,30,NA,100,"5","11","0",0
"91",2018-11-22,103586,1,2018-11-22,"22",22106,124568,"Tijuana",32.2808,-116.6753,"1",0,53,"1","divorced",1,15000,1500,30,1500,30,"2",100,"5","11","0",0
"92",2018-11-22,103590,1,2018-11-22,"7",7580,100618,"Gustavo A. Madero",19.4783,-99.0849,"0",336,34,"1","divorced",2,16000,1500,22,1500,22,"1",100,"5","11","0",0
"93",2018-11-22,103596,1,2018-11-22,"67",67275,89193,"Juarez",25.6141,-100.1215,"1",0,32,"0","single",2,16600,2000,10,2000,10,"2",100,"5","11","0",0
"94",2018-11-22,103600,1,2018-11-22,"95",95400,126902,"Cosamaloapan de Carpio",18.4527,-95.7353,"1",0,44,"0","married",3,12000,2000,30,2000,30,"2",100,"5","11","0",0
"95",2018-11-22,103614,1,2018-11-23,"89",89350,126931,"Tampico",22.2786,-97.9013,"0",327,43,"1","married",2,7000,1500,30,1500,30,"1",100,"5","11","0",0
"96",2018-11-22,103623,1,2018-11-26,"77",77519,122731,"Benito Juv∞rez",21.0124,-86.8486,"1",0,30,"1","single",0,12000,1500,23,1500,23,"3",100,"5","11","0",0
"97",2018-11-22,103624,1,2018-11-22,"77",77710,59617,"Solidaridad",20.6274,-87.078,"1",0,31,"1","single",2,4000,1500,22,1500,22,"2",100,"5","11","0",0
"98",2018-11-22,103625,1,2018-11-23,"44",44739,6864,"Guadalajara",20.676,-103.3358,"1",0,25,"0","single",0,8600,1500,30,1500,30,"2",100,"5","11","0",0
"99",2018-11-22,103630,1,2018-11-23,"20",20010,79439,"Aguascalientes",21.9644,-102.3192,"1",0,34,"0","married",1,12000,1500,30,1500,30,"3",100,"5","11","0",0
"100",2018-11-22,103649,1,2018-11-23,"9",9300,125913,"Iztapalapa",19.3696,-99.0753,"0",335,25,"0","single",0,6000,1600,23,1500,22,"1",100,"5","11","0",0
"101",2018-11-22,103654,1,2018-11-22,"14",14439,121908,"Tlalpan",19.272,-99.1755,"1",0,36,"0","married",2,14000,2000,26,2000,26,"2",100,"5","11","0",0
"102",2018-11-22,103661,1,2018-11-26,"22",22163,126167,"Tijuana",32.3915,-116.9576,"1",0,42,"1","married",0,8000,2100,22,1500,22,"1",100,"5","11","0",0
"103",2018-11-22,103662,1,2018-11-23,"9",9760,127071,"Iztapalapa",19.3252,-99.0569,"0",335,34,"0","married",3,9000,1500,22,1500,22,"3",100,"5","11","0",0
"104",2018-11-22,103666,3,2018-11-22,"52",52764,85102,"Huixquilucan",19.375,-99.2944,"1",0,26,"1","married",1,6500,2500,13,2000,13,NA,100,"5","11","0",0
"105",2018-11-22,103680,1,2018-11-22,"9",9310,27051,"Iztapalapa",19.3814,-99.0891,"0",328,37,"1","married",1,13000,1500,30,1500,30,"3",100,"5","11","0",0
"106",2018-11-22,103681,1,2018-11-23,"52",52280,121834,"San Antonio la Isla",19.16,-99.5608,"1",0,26,"1","married",0,8000,2000,25,2000,25,"3",100,"5","11","0",0
"107",2018-11-22,103699,1,2018-11-22,"88",88730,126964,"Reynosa",26.0571,-98.3778,"1",0,43,"1","married",1,18000,1500,22,1500,22,"2",100,"5","11","0",0
"108",2018-11-22,103712,1,2018-11-22,"9",9100,92328,"Iztapalapa",19.3919,-99.0435,"1",0,49,"1","single",0,8000,1500,30,1500,30,"3",100,"5","11","0",0
"109",2018-11-22,103721,1,2018-11-23,"55",55710,72845,"COACALCO",19.6263,-99.0938,"1",0,23,"0","single",1,6000,1500,22,1500,22,"3",100,"5","11","0",0
"110",2018-11-22,103735,3,2018-11-22,"55",55850,78111,"SAN MARTIN DE LAS PIRAMIDES, MEXICO",19.7032,-98.8357,"1",0,60,"0","divorced",0,14000,2500,22,2000,22,NA,100,"5","11","0",0
"111",2018-11-22,103736,1,2018-11-23,"7",7440,127188,"Gustavo A. Madero",19.495,-99.0936,"0",282,42,"0","married",1,12000,2500,22,2000,22,"3",100,"5","11","0",0
"112",2018-11-22,103742,1,2018-11-22,"96",96026,127191,"Acayucan",18.0367,-95.0326,"1",0,33,"1","married",2,99506,2500,30,1500,22,"1",100,"5","11","0",0
"113",2018-11-22,103745,1,2018-11-22,"78",78340,127199,"San Luis Potosv<U+2260>",22.1052,-100.9572,"1",0,30,"1","single",0,8000,2300,7,2000,7,"2",100,"5","11","0",0
"114",2018-11-22,103753,1,2018-11-22,"86",86029,127156,"Centro",18.0092,-92.8602,"0",324,33,"0","single",0,10000,2000,16,2000,16,"3",100,"5","11","0",0
"115",2018-11-22,103762,1,2018-11-23,"86",86711,85006,"MACUSPANA",17.7891,-92.6114,"0",318,53,"0","married",2,3984,2000,29,1500,22,"1",100,"5","11","0",0
"116",2018-11-22,103769,1,2018-11-23,"43",43845,127223,"Zempoala",19.9231,-98.6722,"0",328,54,"0","married",2,20000,2000,29,2000,29,"3",100,"5","11","0",0
"117",2018-11-22,103776,2,2018-11-22,"72",72498,63995,"Puebla",18.9893,-98.1755,"1",0,32,"1","married",1,7110,1700,30,1500,30,NA,100,"5","11","0",0
"118",2018-11-22,103778,1,2018-11-23,"94",94477,127186,"FORTIN VERACRUZ",18.9018,-96.9706,"1",0,59,"0","married",1,7000,2500,30,1500,22,"1",100,"5","11","0",0
"119",2018-11-22,103798,1,2018-11-23,"52",52176,126845,"Metepec",19.2474,-99.5884,"0",328,47,"1","single",1,12000,1500,14,1500,14,"3",100,"5","11","0",0
"120",2018-11-22,103808,1,2018-11-23,"97",97250,35047,"Merida",20.7,-89.6395,"0",327,32,"1","single",2,8000,1500,30,1500,30,"3",100,"5","11","0",0
"121",2018-11-22,103809,1,2018-11-26,"96",96550,122728,"Coatzacoalcos",18.1326,-94.3976,"1",0,47,"1","single",1,18000,2000,22,2000,22,"2",100,"5","11","0",0
"122",2018-11-22,103823,1,2018-11-23,"71",71980,119379,"Puerto Escondido",15.9175,-97.0407,"1",0,30,"1","single",0,6000,2000,24,1500,22,"1",100,"5","11","0",0
"123",2018-11-22,103828,1,2018-11-23,"91",91808,127278,"Veracruz",19.1857,-96.2114,"1",0,35,"1","single",2,10000,3000,30,2000,22,"3",100,"5","11","0",0
"124",2018-11-22,103832,2,2018-11-23,"97",97306,118161,"Mv©rida",21.0265,-89.4815,"1",0,37,"0","married",3,25000,3000,10,2000,10,"3",100,"5","11","0",0
"125",2018-11-22,103837,2,2018-11-23,"9",9960,57890,"Iztapalapa",19.2942,-99.0569,"1",0,22,"0","single",0,5100,3000,20,1700,20,NA,100,"5","11","0",0
"126",2018-11-22,103841,1,2018-11-23,"57",57300,127127,"Nezahualcv=yotl",19.4187,-99.0269,"1",0,28,"0","married",2,6700,2500,15,1500,15,"3",100,"5","11","0",0
"127",2018-11-22,103850,1,2018-11-23,"22",22116,121946,"Tijuana",32.4041,-116.7603,"1",0,47,"0","married",3,10000,2000,30,2000,30,"3",100,"5","11","0",0
