"","created_atMX_dt","last_agent_event","created_at_dow","last_agent_event_hms"
"1",2018-11-21,2018-11-21 17:34:18,"Wed",17:34:18
"2",2018-11-22,2018-11-22 18:51:25,"Thu",18:51:25
"3",2018-11-23,2018-11-23 18:56:43,"Fri",18:56:43
"4",2018-11-24,2018-11-24 13:35:25,"Sat",13:35:25
"5",2018-11-26,2018-11-26 18:58:24,"Mon",18:58:24
"6",2018-11-27,2018-11-27 18:50:11,"Tue",18:50:11
"7",2018-11-28,2018-11-28 18:57:05,"Wed",18:57:05
"8",2018-11-29,2018-11-29 18:58:58,"Thu",18:58:58
"9",2018-11-30,2018-11-30 19:00:05,"Fri",19:00:05
"10",2018-12-03,2018-12-03 19:31:38,"Mon",19:31:38
"11",2018-12-04,2018-12-04 19:24:09,"Tue",19:24:09
"12",2018-12-05,2018-12-05 19:00:13,"Wed",19:00:13
"13",2018-12-06,2018-12-06 18:51:03,"Thu",18:51:03
"14",2018-12-07,2018-12-07 18:05:31,"Fri",18:05:31
"15",2018-12-08,2018-12-08 13:49:22,"Sat",13:49:22
"16",2018-12-10,2018-12-10 17:59:51,"Mon",17:59:51
"17",2018-12-11,2018-12-11 18:47:20,"Tue",18:47:20
"18",2018-12-12,2018-12-12 17:49:36,"Wed",17:49:36
"19",2018-12-13,2018-12-13 18:36:16,"Thu",18:36:16
"20",2018-12-14,2018-12-14 17:45:38,"Fri",17:45:38
"21",2018-12-15,2018-12-15 12:28:05,"Sat",12:28:05
"22",2018-12-17,2018-12-17 18:35:09,"Mon",18:35:09
"23",2018-12-18,2018-12-18 18:51:33,"Tue",18:51:33
"24",2018-12-19,2018-12-19 14:09:16,"Wed",14:09:16
"25",2018-12-20,2018-12-20 18:19:46,"Thu",18:19:46
"26",2018-12-21,2018-12-21 19:32:26,"Fri",19:32:26
"27",2018-12-22,2018-12-22 12:50:36,"Sat",12:50:36
"28",2018-12-24,2018-12-24 13:57:47,"Mon",13:57:47
"29",2018-12-26,2018-12-26 18:02:41,"Wed",18:02:41
"30",2018-12-27,2018-12-27 18:48:55,"Thu",18:48:55
"31",2018-12-28,2018-12-28 18:49:49,"Fri",18:49:49
"32",2018-12-29,2018-12-29 13:48:45,"Sat",13:48:45
"33",2018-12-31,2018-12-31 15:50:23,"Mon",15:50:23
"34",2019-01-02,2019-01-02 18:54:10,"Wed",18:54:10
"35",2019-01-03,2019-01-03 19:54:42,"Thu",19:54:42
"36",2019-01-04,2019-01-04 19:35:26,"Fri",19:35:26
"37",2019-01-05,2019-01-05 13:46:07,"Sat",13:46:07
"38",2019-01-07,2019-01-07 18:59:55,"Mon",18:59:55
"39",2019-01-08,2019-01-08 18:43:35,"Tue",18:43:35
"40",2019-01-09,2019-01-09 18:59:55,"Wed",18:59:55
"41",2019-01-10,2019-01-10 19:06:36,"Thu",19:06:36
"42",2019-01-11,2019-01-11 18:57:59,"Fri",18:57:59
"43",2019-01-12,2019-01-12 13:29:41,"Sat",13:29:41
"44",2019-01-14,2019-01-14 18:59:18,"Mon",18:59:18
"45",2019-01-15,2019-01-15 18:55:48,"Tue",18:55:48
"46",2019-01-16,2019-01-16 19:04:51,"Wed",19:04:51
"47",2019-01-17,2019-01-17 18:28:45,"Thu",18:28:45
"48",2019-01-18,2019-01-18 18:35:41,"Fri",18:35:41
"49",2019-01-19,2019-01-19 13:16:12,"Sat",13:16:12
"50",2019-01-21,2019-01-21 19:46:44,"Mon",19:46:44
"51",2019-01-22,2019-01-22 19:58:16,"Tue",19:58:16
"52",2019-01-23,2019-01-23 19:44:16,"Wed",19:44:16
"53",2019-01-24,2019-01-24 19:59:58,"Thu",19:59:58
"54",2019-01-25,2019-01-25 18:53:59,"Fri",18:53:59
"55",2019-01-26,2019-01-26 13:53:13,"Sat",13:53:13
"56",2019-01-28,2019-01-28 19:39:09,"Mon",19:39:09
"57",2019-01-29,2019-01-29 19:51:05,"Tue",19:51:05
"58",2019-01-30,2019-01-30 20:24:18,"Wed",20:24:18
"59",2019-01-31,2019-01-31 19:57:02,"Thu",19:57:02
"60",2019-02-01,2019-02-01 18:56:39,"Fri",18:56:39
"61",2019-02-02,2019-02-02 13:58:49,"Sat",13:58:49
"62",2019-02-05,2019-02-05 19:19:02,"Tue",19:19:02
"63",2019-02-06,2019-02-06 19:09:19,"Wed",19:09:19
"64",2019-02-07,2019-02-07 19:19:59,"Thu",19:19:59
"65",2019-02-08,2019-02-08 19:34:05,"Fri",19:34:05
"66",2019-02-09,2019-02-09 14:01:28,"Sat",14:01:28
"67",2019-02-11,2019-02-11 19:22:19,"Mon",19:22:19
"68",2019-02-12,2019-02-12 19:35:15,"Tue",19:35:15
"69",2019-02-13,2019-02-13 19:35:37,"Wed",19:35:37
"70",2019-02-14,2019-02-14 19:48:18,"Thu",19:48:18
"71",2019-02-15,2019-02-15 19:44:05,"Fri",19:44:05
"72",2019-02-16,2019-02-16 13:09:31,"Sat",13:09:31
"73",2019-02-18,2019-02-18 19:17:22,"Mon",19:17:22
"74",2019-02-19,2019-02-19 19:33:14,"Tue",19:33:14
"75",2019-02-20,2019-02-20 19:32:02,"Wed",19:32:02
"76",2019-02-21,2019-02-21 19:24:47,"Thu",19:24:47
"77",2019-02-22,2019-02-22 19:28:02,"Fri",19:28:02
